# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	1776
#@/user_id	10eb7508-e167-4823-8968-7521df318d50
luo2 ji2 	邏輯	c=2 d=1.00701 t=1145
lv2 	驢	c=1 d=1 t=1443
ma2 fan5 	麻煩	c=1 d=1 t=1744
ma3 	馬	c=1 d=1 t=1747
ma3 ding1 lu4 de2 	馬丁·路德	c=1 d=1 t=212
ma3 ke4 bei1 	馬克杯	c=3 d=2.22651 t=539
ma4 zha4 	螞蚱	c=1 d=1 t=175
ma5 	嗎	c=11 d=2.72765 t=1661
ma5 	嘛	c=0 d=0.1 t=1318
mai3 le5 	買了	c=0 d=0.1 t=383
mai4 ke4 feng1 	麥克風	c=1 d=1 t=797
man4 chang2 	漫長	c=1 d=1 t=234
mao2 	茅	c=0 d=0.1 t=1153
mao4 ge4 pao4 	冒個泡	c=1 d=1 t=671
mao4 yi4 	貿易	c=1 d=1 t=248
mao4 yi4 zhan4 	貿易戰	c=1 d=1 t=152
mei2 	沒	c=3 d=1.95638 t=1695
mei2 lai2 	沒來	c=1 d=1 t=668
mei2 ti3 	媒體	c=1 d=1 t=95
mei2 you3 	沒有	c=6 d=1.35729 t=1255
mei3 fu4 	美富	c=2 d=1.99501 t=1758
mei3 guo2 	美國	c=4 d=2.98112 t=160
men1 	悶	c=1 d=1 t=1243
men5 	們	c=2 d=1.5627 t=303
meng4 xiang3 	夢想	c=1 d=1 t=215
meng4 you2 	夢遊	c=1 d=1 t=1775
mi3 zhi1 	米脂	c=3 d=1.91958 t=1750
mi3 zhi1 xian4 	米脂縣	c=1 d=1 t=1488
mian3 	免	c=1 d=1 t=1207
min2 zu2 	民族	c=1 d=1 t=102
min3 rui4 	敏銳	c=1 d=1 t=263
ming2 	明	c=1 d=1 t=223
ming2 cheng1 	名稱	c=1 d=1 t=312
ming2 yi4 	名義	c=1 d=1 t=1192
